subsec,tamaño,gen1,gen2,gen3,gen4,gen5,gen6,gen7,gen8,gen9,gen10,apariciones
122,14,0,1,0,0,0,0,0,0,0,0,1
123,18,0,0,0,0,0,0,0,0,0,1,1
124,8,0,0,0,0,0,0,0,0,1,0,1
125,10,0,1,0,0,0,0,0,0,0,0,1
126,6,0,1,0,0,0,1,1,0,0,1,4
127,7,0,0,0,0,0,0,0,1,0,0,1
128,8,0,0,0,1,0,0,0,0,0,0,1
129,4,0,2,2,1,1,0,0,1,0,1,8
130,14,0,0,0,0,0,0,0,0,0,0,0
131,20,0,0,0,0,0,0,1,0,0,0,1
132,12,0,0,0,1,0,0,0,0,0,0,1
133,16,0,0,0,0,0,0,0,0,0,0,0
134,6,0,0,0,0,0,0,1,0,0,0,1
135,15,1,0,0,0,0,0,0,0,0,0,1
136,15,0,0,1,0,0,0,0,0,0,0,1
137,15,0,0,0,0,0,0,0,1,0,0,1
138,4,3,2,0,1,1,0,1,4,1,1,13
139,15,0,0,0,0,0,0,1,0,0,0,1
140,16,0,0,0,0,0,0,0,0,0,0,0
141,15,0,0,0,0,0,0,0,1,0,0,1
142,15,0,0,0,0,0,0,0,0,0,1,1
143,18,0,0,0,0,0,0,0,0,0,0,0
144,11,0,0,0,1,0,0,0,0,0,0,1
145,11,0,0,0,1,0,0,0,0,0,0,1
146,20,0,0,0,0,0,1,0,0,0,0,1
147,15,0,0,0,0,0,0,1,0,0,0,1
148,4,0,1,1,2,0,2,2,4,2,1,15
149,15,0,0,0,0,0,0,0,0,0,0,0
150,9,0,0,1,0,0,0,0,0,0,0,1
151,15,0,0,0,0,0,0,0,0,0,0,0
152,18,0,0,0,0,0,0,0,0,0,0,0
153,10,0,0,0,0,0,0,0,1,0,0,1
154,12,0,0,0,0,0,0,0,0,1,0,1
155,6,0,0,1,0,0,0,1,0,0,0,2
156,5,0,0,0,0,0,0,1,0,0,0,1
157,6,0,0,0,0,0,0,1,0,0,0,1
158,17,0,0,0,0,0,0,0,0,0,0,0
159,17,0,0,0,0,0,0,1,0,0,0,1
160,17,0,0,0,0,0,0,0,0,1,0,1
161,17,0,0,0,0,0,0,0,0,0,1,1
162,14,0,1,0,0,0,0,0,0,0,0,1
163,6,0,1,0,0,0,0,0,0,0,0,1
164,19,0,0,0,0,0,0,0,0,1,0,1
165,8,0,0,0,0,0,0,0,0,0,0,0
166,9,0,0,0,0,0,0,0,0,0,10,1
167,7,0,0,0,0,0,1,0,0,0,0,1
168,18,0,0,0,1,0,0,0,0,0,0,1
169,5,0,0,0,0,0,0,0,1,0,0,1
170,18,0,0,0,1,0,0,0,0,0,0,1
171,19,0,0,0,0,0,0,0,1,0,0,1
172,13,0,0,0,0,1,0,0,0,0,0,1
173,14,0,0,0,0,1,0,0,0,0,0,1
174,18,0,0,0,0,0,0,0,0,0,0,0
175,17,0,0,0,0,1,0,0,0,0,0,1
176,12,0,0,0,0,0,0,0,0,1,0,1
177,12,0,0,0,0,0,0,0,1,0,0,1
178,8,0,3,0,0,0,0,0,0,0,0,3
179,12,0,0,0,0,0,1,0,0,0,0,1
180,16,0,1,0,0,0,0,0,0,0,0,1
181,5,0,0,0,0,0,0,0,1,0,0,1
182,12,0,0,0,0,0,0,0,1,0,0,1
183,13,0,0,0,0,0,0,0,0,0,0,0
184,16,0,0,0,1,0,0,0,0,0,0,1
185,14,0,0,0,0,0,0,0,0,0,0,0
186,19,0,0,0,0,0,0,0,0,0,0,0
187,17,0,0,0,0,0,0,0,0,0,0,0
188,8,0,0,0,0,0,0,0,0,0,0,0
189,16,0,0,0,0,0,0,0,1,0,0,1
190,9,3,0,0,0,0,0,0,0,0,0,3
191,8,0,2,0,0,0,0,0,0,0,0,2
192,4,0,10,0,0,0,0,0,0,0,0,10
193,20,0,0,0,0,0,0,0,0,0,0,0
194,4,0,0,0,0,0,0,0,10,0,0,10
195,4,0,0,0,0,0,0,0,10,0,0,10
196,13,1,0,0,0,0,0,0,0,0,0,1
197,20,0,0,0,0,0,0,0,0,0,0,0
198,21,0,0,0,1,0,0,0,0,0,0,1
199,13,0,0,0,1,0,0,0,0,0,0,1
200,4,0,0,0,0,0,0,0,0,0,10,10
